date,open,high,low,close,volume
2025-01-02,563.0,564.0,536.0,545.0,4217125
2025-01-03,549.0,552.0,533.0,537.0,2938621
2025-01-06,539.0,545.0,536.0,540.0,2071254
2025-01-07,540.0,547.0,537.0,543.0,2333173
2025-01-08,543.0,547.0,537.0,540.0,2193132
2025-01-09,538.0,543.0,527.0,529.0,3124283
2025-01-10,531.0,541.0,525.0,525.0,1897895
2025-01-13,521.0,525.0,507.0,515.0,2798190
2025-01-14,515.0,521.0,513.0,519.0,1166996
2025-01-15,517.0,523.0,513.0,521.0,1592148
2025-01-16,530.0,537.0,526.0,526.0,1682907
2025-01-17,525.0,544.0,525.0,538.0,2663261
2025-01-20,539.0,546.0,534.0,538.0,1995288
2025-01-21,534.0,544.0,534.0,540.0,1427420
2025-01-22,540.0,549.0,537.0,542.0,2081753
2025-02-03,532.0,536.0,523.0,529.0,3239470
2025-02-04,536.0,576.0,536.0,569.0,6709542
2025-02-05,578.0,585.0,566.0,566.0,6304345
2025-02-06,555.0,564.0,535.0,539.0,7191467
2025-02-07,543.0,556.0,541.0,553.0,4053383
2025-02-10,552.0,560.0,547.0,557.0,3577925
2025-02-11,559.0,560.0,552.0,559.0,2316898
2025-02-12,560.0,568.0,556.0,557.0,2362789
2025-02-13,557.0,561.0,548.0,555.0,2936027
2025-02-14,555.0,557.0,544.0,548.0,2500099
2025-02-17,549.0,560.0,548.0,550.0,1575348
2025-02-18,550.0,552.0,546.0,551.0,1089745
2025-02-19,553.0,563.0,550.0,553.0,2366249
2025-02-20,554.0,560.0,550.0,555.0,1510453
2025-02-21,560.0,567.0,555.0,566.0,1821862
2025-02-24,561.0,568.0,560.0,568.0,1887173
2025-02-25,564.0,570.0,558.0,560.0,2189765
2025-02-26,559.0,564.0,552.0,562.0,2553060
2025-02-27,563.0,567.0,550.0,550.0,2315448
2025-03-03,556.0,556.0,546.0,555.0,2077459
2025-03-04,545.0,553.0,542.0,548.0,4167045
2025-03-05,551.0,562.0,550.0,555.0,2392072
2025-03-06,555.0,557.0,548.0,557.0,1649257
2025-03-07,553.0,563.0,552.0,555.0,1798844
2025-03-10,555.0,559.0,548.0,553.0,1732798
2025-03-11,544.0,562.0,540.0,560.0,4988287
2025-03-12,560.0,563.0,553.0,554.0,2064319
2025-03-13,555.0,557.0,538.0,538.0,1634324
2025-03-14,542.0,544.0,534.0,538.0,2309994
2025-03-17,542.0,544.0,534.0,535.0,1449134
2025-03-18,538.0,547.0,537.0,547.0,1397952
2025-03-19,547.0,549.0,539.0,541.0,1309135
2025-03-20,545.0,556.0,544.0,554.0,1633685
2025-03-21,550.0,562.0,549.0,560.0,2491727
2025-03-24,560.0,567.0,556.0,556.0,1838312
2025-03-25,560.0,567.0,558.0,562.0,2325775
2025-03-26,566.0,566.0,557.0,561.0,1480735
2025-03-27,554.0,556.0,545.0,545.0,1924546
2025-03-28,540.0,550.0,539.0,548.0,1943195
2025-03-31,537.0,541.0,523.0,523.0,3061733
2025-04-01,525.0,531.0,521.0,525.0,3372774
2025-04-02,526.0,542.0,526.0,530.0,2377298
2025-04-07,477.0,477.0,477.0,477.0,791352
2025-04-08,439.0,465.0,436.0,450.5,4986534
2025-04-09,442.0,458.5,432.5,440.0,5246874
2025-04-10,484.0,484.0,484.0,484.0,554558
2025-04-11,480.5,513.0,462.0,511.0,3697247
2025-04-14,516.0,517.0,500.0,500.0,3969242
2025-04-15,501.0,507.0,496.5,504.0,2325826
2025-04-16,498.0,508.0,495.0,499.0,2251311
2025-04-17,498.0,515.0,495.0,508.0,2018426
2025-04-18,513.0,513.0,499.5,505.0,1866176
2025-04-21,505.0,509.0,499.0,507.0,1138810
2025-04-22,508.0,510.0,496.0,496.0,1404030
2025-04-23,505.0,517.0,505.0,516.0,1950297
2025-04-24,516.0,518.0,506.0,506.0,1335350
2025-04-25,518.0,532.0,518.0,525.0,2644986
2025-04-28,525.0,531.0,519.0,524.0,1068108
2025-04-29,522.0,524.0,514.0,519.0,2058791
2025-04-30,521.0,527.0,518.0,524.0,1705962
2025-05-02,525.0,528.0,500.0,505.0,3689961
2025-05-05,508.0,508.0,492.0,499.0,3130138
2025-05-06,507.0,507.0,497.0,499.5,2403315
2025-05-07,505.0,511.0,498.5,503.0,2286990
2025-05-08,504.0,511.0,503.0,509.0,1479742
2025-05-09,511.0,517.0,508.0,513.0,2064892
2025-05-12,514.0,517.0,509.0,510.0,1235167
2025-05-13,523.0,533.0,518.0,520.0,3351847
2025-05-14,527.0,527.0,519.0,520.0,2561141
2025-05-15,521.0,527.0,516.0,517.0,2980374
2025-05-16,522.0,522.0,513.0,518.0,2100391
2025-05-19,514.0,519.0,513.0,513.0,1407642
2025-05-20,523.0,526.0,519.0,519.0,2229570
2025-05-21,525.0,526.0,519.0,525.0,1336077
2025-05-22,520.0,531.0,518.0,528.0,1636192
2025-05-23,533.0,533.0,517.0,518.0,2453934
2025-05-26,520.0,531.0,518.0,530.0,3060261
2025-05-27,525.0,529.0,519.0,521.0,3000033
2025-05-28,531.0,540.0,528.0,539.0,4204836
2025-05-29,545.0,546.0,532.0,541.0,4677755
2025-06-02,541.0,543.0,522.0,525.0,2469412
2025-06-03,526.0,543.0,523.0,543.0,3297509
2025-06-04,536.0,542.0,534.0,541.0,3099483
2025-06-05,540.0,552.0,539.0,546.0,2824885
2025-06-06,548.0,548.0,536.0,543.0,1881925
2025-06-09,545.0,552.0,542.0,550.0,1613178
2025-06-10,553.0,557.0,548.0,555.0,1519764
2025-06-11,557.0,563.0,555.0,562.0,1164149
2025-06-12,561.0,561.0,551.0,555.0,1570174
2025-06-13,549.0,553.0,546.0,550.0,1637642
2025-06-16,544.0,552.0,543.0,550.0,1373889
2025-06-17,555.0,560.0,552.0,557.0,1947150
2025-06-18,551.0,557.0,547.0,553.0,2031144
2025-06-19,580.0,590.0,553.0,556.0,5713324
2025-06-20,549.0,556.0,544.0,550.0,3733188
2025-06-23,542.0,549.0,539.0,545.0,2685103
2025-06-24,555.0,561.0,551.0,551.0,2436003
2025-06-25,556.0,564.0,556.0,559.0,2029259
2025-06-26,557.0,566.0,555.0,560.0,2276744
2025-06-27,556.0,568.0,556.0,564.0,1382676
2025-06-30,564.0,569.0,561.0,567.0,1224752
2025-07-01,567.0,569.0,558.0,561.0,1794091
2025-07-02,561.0,580.0,560.0,578.0,2862095
2025-07-03,580.0,583.0,570.0,575.0,1819011
2025-07-04,577.0,582.0,570.0,582.0,3285691
2025-07-07,581.0,581.0,566.0,569.0,1495397
2025-07-08,572.0,573.0,557.0,562.0,1558930
2025-07-09,560.0,575.0,560.0,574.0,1573706
2025-07-10,571.0,579.0,570.0,577.0,1580132
2025-07-11,578.0,581.0,576.0,578.0,1642910
2025-07-14,582.0,582.0,576.0,580.0,1382347
2025-07-15,577.0,579.0,573.0,573.0,1091380
2025-07-16,573.0,584.0,572.0,581.0,1929335
2025-07-17,581.0,585.0,579.0,584.0,1248300
2025-07-18,585.0,587.0,581.0,585.0,1579748
2025-07-21,584.0,585.0,574.0,577.0,1532692
2025-07-22,580.0,591.0,579.0,582.0,2400798
2025-07-23,588.0,593.0,573.0,575.0,2045376
2025-07-24,577.0,579.0,570.0,572.0,838318
2025-07-25,572.0,578.0,567.0,572.0,1140569
2025-07-28,578.0,578.0,570.0,576.0,788767
2025-07-29,576.0,581.0,571.0,576.0,1384378
2025-07-30,576.0,579.0,570.0,577.0,976767
2025-07-31,573.0,580.0,570.0,575.0,1275326
2025-08-01,563.0,565.0,550.0,550.0,4337447
2025-08-04,537.0,552.0,524.0,545.0,2785329
2025-08-05,552.0,562.0,548.0,559.0,3263839
2025-08-06,559.0,559.0,537.0,537.0,3445707
2025-08-07,539.0,547.0,535.0,536.0,2761031
2025-08-08,534.0,544.0,534.0,539.0,2597149
2025-08-11,539.0,539.0,532.0,533.0,1435322
2025-08-12,533.0,538.0,526.0,531.0,3428998
2025-08-13,528.0,538.0,528.0,535.0,3125291
2025-08-14,538.0,547.0,535.0,543.0,3686375
2025-08-15,540.0,542.0,534.0,540.0,1955520
2025-08-18,537.0,543.0,536.0,540.0,2203376
2025-08-19,537.0,541.0,532.0,532.0,2368183
2025-08-20,530.0,534.0,521.0,522.0,3291695
2025-08-21,526.0,531.0,523.0,525.0,2391256
2025-08-22,524.0,529.0,521.0,523.0,1630717
2025-08-25,530.0,538.0,530.0,534.0,1040155
2025-08-26,532.0,546.0,531.0,544.0,4176066
2025-08-27,542.0,548.0,539.0,545.0,2180905
2025-08-28,545.0,552.0,544.0,545.0,2736565
2025-08-29,546.0,551.0,534.0,534.0,2622935
2025-09-01,539.0,545.0,534.0,542.0,2072836
2025-09-02,546.0,550.0,540.0,547.0,1933179
2025-09-03,550.0,550.0,542.0,542.0,942487
2025-09-04,528.0,545.0,528.0,532.0,2798312
2025-09-05,540.0,541.0,532.0,539.0,2527246
2025-09-08,542.0,549.0,541.0,545.0,3414109
2025-09-09,545.0,547.0,536.0,540.0,3329942
2025-09-10,500.0,517.0,498.0,510.0,7966234
2025-09-11,515.0,533.0,511.0,525.0,3890986
2025-09-12,520.0,530.0,520.0,526.0,2151687
2025-09-15,521.0,530.0,521.0,526.0,1524388
2025-09-16,530.0,544.0,530.0,544.0,2917922
2025-09-17,545.0,546.0,536.0,542.0,1511108
2025-09-18,542.0,545.0,539.0,543.0,1613990
2025-09-19,544.0,546.0,540.0,544.0,2493576
2025-09-22,548.0,548.0,539.0,543.0,2072365
2025-09-23,542.0,546.0,540.0,540.0,1636573
2025-09-24,549.0,557.0,545.0,546.0,2847576
2025-09-25,549.0,550.0,540.0,540.0,2090351
2025-09-26,545.0,547.0,534.0,539.0,1262678
2025-09-30,549.0,555.0,540.0,550.0,3615398
2025-10-01,548.0,548.0,522.0,522.0,3608202
2025-10-02,522.0,531.0,522.0,527.0,1406993
2025-10-03,536.0,538.0,532.0,532.0,1236915
2025-10-07,535.0,549.0,534.0,546.0,1736253
2025-10-08,548.0,552.0,544.0,549.0,2199333
2025-10-09,554.0,563.0,552.0,555.0,1834472
2025-10-13,549.0,552.0,542.0,544.0,2939650
2025-10-14,557.0,563.0,541.0,541.0,2447876
2025-10-15,542.0,542.0,526.0,530.0,3453147
2025-10-16,536.0,539.0,532.0,535.0,1483463
2025-10-17,539.0,540.0,532.0,533.0,1425434
2025-10-20,540.0,541.0,529.0,531.0,1754783
2025-10-21,540.0,542.0,535.0,537.0,964766
2025-10-22,542.0,542.0,537.0,540.0,899653
2025-10-23,535.0,538.0,532.0,533.0,952795
2025-10-27,541.0,542.0,523.0,525.0,2435101
2025-10-28,526.0,528.0,512.0,517.0,3024258
2025-10-29,528.0,529.0,516.0,516.0,2083586
2025-10-30,516.0,516.0,509.0,512.0,1997636
2025-10-31,519.0,521.0,508.0,515.0,2345617
2025-11-03,511.0,513.0,500.0,500.0,2307885
2025-11-04,507.0,514.0,502.0,506.0,2846003
2025-11-05,507.0,507.0,497.0,503.0,2193145
2025-11-06,506.0,507.0,501.0,505.0,1243311
2025-11-07,503.0,510.0,498.5,506.0,1805578
2025-11-10,513.0,513.0,502.0,502.0,1661425
2025-11-11,505.0,509.0,498.5,501.0,2105303
2025-11-12,497.0,501.0,495.0,496.5,1592645
2025-11-13,491.0,499.5,486.5,496.0,1822982
2025-11-14,497.0,510.0,495.0,503.0,2747258
2025-11-17,501.0,505.0,497.5,497.5,1970144
2025-11-18,497.5,499.5,490.0,493.5,2614224
2025-11-19,498.5,498.5,485.0,488.5,2191725
2025-11-20,494.0,497.5,490.0,496.5,1688148
2025-11-21,495.0,501.0,490.0,498.0,2331094
2025-11-24,515.0,516.0,494.0,508.0,5880161
